epc,atenda,atendanum,phase,RSS,timestamp,timestamp2,
300833b2ddd9014000030001,1,1,1996,-49,1654780448282300,1654780448282300,
300833b2ddd9014000030002,1,1,184,-57,1654780448283952,1654780448283952,
300833b2ddd9014000030009,1,1,2552,-41,1654780448285052,1654780448285052,
300833b2ddd9014000030008,1,1,3524,-48,1654780448286135,1654780448286135,
300833b2ddd9014000030009,1,1,2536,-41,1654780448317490,1654780448317490,
300833b2ddd9014000030008,1,1,3504,-47,1654780448318926,1654780448318926,
300833b2ddd9014000030001,1,1,2004,-49,1654780448319974,1654780448319974,
300833b2ddd9014000030008,1,1,3500,-48,1654780448323563,1654780448323563,
300833b2ddd9014000030009,1,1,2548,-41,1654780448325131,1654780448325131,
300833b2ddd9014000030001,1,1,2012,-49,1654780448326673,1654780448326673,
300833b2ddd9014000030002,1,1,196,-56,1654780448327756,1654780448327756,
300833b2ddd9014000030001,1,1,1992,-49,1654780448360024,1654780448360024,
300833b2ddd9014000030008,1,1,3496,-47,1654780448361574,1654780448361574,
300833b2ddd9014000030002,1,1,204,-57,1654780448363071,1654780448363071,
300833b2ddd9014000030008,1,1,3496,-47,1654780448365742,1654780448365742,
300833b2ddd9014000030009,1,1,2552,-41,1654780448367042,1654780448367042,
300833b2ddd9014000030002,1,1,216,-57,1654780448368155,1654780448368155,
300833b2ddd9014000030001,1,1,1996,-49,1654780448370322,1654780448370322,
300833b2ddd9014000030008,1,1,3488,-47,1654780448401423,1654780448401423,
300833b2ddd9014000030001,1,1,1992,-49,1654780448402722,1654780448402722,
300833b2ddd9014000030009,1,1,2544,-41,1654780448404321,1654780448404321,
300833b2ddd9014000030002,1,1,156,-56,1654780448407082,1654780448407082,
300833b2ddd9014000030009,1,1,2548,-41,1654780448424687,1654780448424687,
300833b2ddd9014000030001,1,1,2000,-49,1654780448426899,1654780448426899,
300833b2ddd9014000030008,1,1,3512,-47,1654780448428054,1654780448428054,
300833b2ddd9014000030002,1,1,216,-56,1654780448429534,1654780448429534,
300833b2ddd9014000030001,1,1,1996,-49,1654780448470353,1654780448470353,
300833b2ddd9014000030009,1,1,2556,-41,1654780448471667,1654780448471667,
300833b2ddd9014000030008,1,1,3504,-47,1654780448472736,1654780448472736,
300833b2ddd9014000030002,1,1,176,-56,1654780448474643,1654780448474643,
300833b2ddd9014000030002,1,1,240,-56,1654780448478839,1654780448478839,
300833b2ddd9014000030001,1,1,1976,-49,1654780448480752,1654780448480752,
300833b2ddd9014000030008,1,1,3500,-47,1654780448481792,1654780448481792,
300833b2ddd9014000030009,1,1,2556,-41,1654780448482822,1654780448482822,
300833b2ddd9014000030001,1,1,1988,-49,1654780448516995,1654780448516995,
300833b2ddd9014000030009,1,1,2564,-41,1654780448518479,1654780448518479,
300833b2ddd9014000030002,1,1,204,-56,1654780448519535,1654780448519535,
300833b2ddd9014000030008,1,1,3524,-47,1654780448521190,1654780448521190,
