epc,atenda,atendanum,phase,RSS,timestamp,timestamp2,
300833b2ddd9014000030008,1,1,3432,-41,1654780222125467,1654780222125467,
300833b2ddd9014000030009,1,1,2420,-42,1654780222126583,1654780222126583,
300833b2ddd9014000030002,1,1,620,-48,1654780222129026,1654780222129026,
300833b2ddd9014000030001,1,1,1592,-50,1654780222130129,1654780222130129,
300833b2ddd9014000030009,1,1,2420,-42,1654780222135105,1654780222135105,
300833b2ddd9014000030008,1,1,3408,-41,1654780222136798,1654780222136798,
300833b2ddd9014000030001,1,1,1592,-50,1654780222137899,1654780222137899,
300833b2ddd9014000030002,1,1,636,-48,1654780222139309,1654780222139309,
300833b2ddd9014000030001,1,1,1604,-50,1654780222169505,1654780222169505,
300833b2ddd9014000030008,1,1,3428,-41,1654780222170615,1654780222170615,
300833b2ddd9014000030009,1,1,2428,-42,1654780222171702,1654780222171702,
300833b2ddd9014000030002,1,1,604,-49,1654780222173297,1654780222173297,
300833b2ddd9014000030001,1,1,1624,-50,1654780222178263,1654780222178263,
300833b2ddd9014000030002,1,1,644,-49,1654780222179717,1654780222179717,
300833b2ddd9014000030009,1,1,2416,-42,1654780222180803,1654780222180803,
300833b2ddd9014000030008,1,1,3412,-41,1654780222181872,1654780222181872,
300833b2ddd9014000030002,1,1,640,-48,1654780222212453,1654780222212453,
300833b2ddd9014000030008,1,1,3416,-41,1654780222213749,1654780222213749,
300833b2ddd9014000030009,1,1,2436,-42,1654780222214877,1654780222214877,
300833b2ddd9014000030001,1,1,1632,-50,1654780222216674,1654780222216674,
300833b2ddd9014000030001,1,1,1548,-50,1654780222222088,1654780222222088,
300833b2ddd9014000030009,1,1,2428,-42,1654780222223515,1654780222223515,
300833b2ddd9014000030008,1,1,3408,-41,1654780222224583,1654780222224583,
300833b2ddd9014000030002,1,1,632,-48,1654780222226263,1654780222226263,
300833b2ddd9014000030009,1,1,2428,-42,1654780222256820,1654780222256820,
300833b2ddd9014000030008,1,1,3424,-41,1654780222257874,1654780222257874,
300833b2ddd9014000030001,1,1,1604,-50,1654780222259473,1654780222259473,
300833b2ddd9014000030002,1,1,624,-48,1654780222261411,1654780222261411,
300833b2ddd9014000030008,1,1,3428,-41,1654780222267797,1654780222267797,
300833b2ddd9014000030009,1,1,2424,-42,1654780222270344,1654780222270344,
300833b2ddd9014000030002,1,1,620,-49,1654780222271625,1654780222271625,
300833b2ddd9014000030001,1,1,1616,-50,1654780222272884,1654780222272884,
300833b2ddd9014000030001,1,1,1576,-50,1654780222302649,1654780222302649,
300833b2ddd9014000030008,1,1,3420,-41,1654780222304016,1654780222304016,
300833b2ddd9014000030009,1,1,2436,-42,1654780222305385,1654780222305385,
300833b2ddd9014000030002,1,1,632,-48,1654780222306950,1654780222306950,
300833b2ddd9014000030009,1,1,2428,-42,1654780222312279,1654780222312279,
300833b2ddd9014000030008,1,1,3428,-41,1654780222313588,1654780222313588,
300833b2ddd9014000030001,1,1,1596,-50,1654780222314719,1654780222314719,
300833b2ddd9014000030002,1,1,628,-48,1654780222315931,1654780222315931,
300833b2ddd9014000030001,1,1,1596,-50,1654780222346190,1654780222346190,
300833b2ddd9014000030008,1,1,3432,-41,1654780222349299,1654780222349299,
300833b2ddd9014000030009,1,1,2456,-42,1654780222350397,1654780222350397,
300833b2ddd9014000030002,1,1,632,-48,1654780222351596,1654780222351596,
300833b2ddd9014000030009,1,1,2444,-42,1654780222354562,1654780222354562,
300833b2ddd9014000030002,1,1,644,-48,1654780222356764,1654780222356764,
300833b2ddd9014000030008,1,1,3416,-41,1654780222357875,1654780222357875,
300833b2ddd9014000030001,1,1,1588,-51,1654780222359092,1654780222359092,
300833b2ddd9014000030008,1,1,3420,-41,1654780222389518,1654780222389518,
300833b2ddd9014000030002,1,1,632,-48,1654780222391511,1654780222391511,
300833b2ddd9014000030009,1,1,2432,-42,1654780222392568,1654780222392568,
300833b2ddd9014000030001,1,1,1604,-51,1654780222393770,1654780222393770,
300833b2ddd9014000030008,1,1,3420,-41,1654780222396740,1654780222396740,
300833b2ddd9014000030009,1,1,2444,-42,1654780222397797,1654780222397797,
300833b2ddd9014000030001,1,1,1604,-51,1654780222399606,1654780222399606,
300833b2ddd9014000030002,1,1,620,-48,1654780222400977,1654780222400977,
300833b2ddd9014000030001,1,1,1616,-51,1654780222432407,1654780222432407,
300833b2ddd9014000030002,1,1,624,-48,1654780222433462,1654780222433462,
300833b2ddd9014000030008,1,1,3416,-41,1654780222434573,1654780222434573,
300833b2ddd9014000030009,1,1,2444,-42,1654780222436751,1654780222436751,
300833b2ddd9014000030009,1,1,2456,-42,1654780222440883,1654780222440883,
300833b2ddd9014000030008,1,1,3408,-41,1654780222442208,1654780222442208,
300833b2ddd9014000030001,1,1,1604,-51,1654780222443802,1654780222443802,
300833b2ddd9014000030002,1,1,636,-48,1654780222445158,1654780222445158,
300833b2ddd9014000030008,1,1,3416,-41,1654780222476346,1654780222476346,
300833b2ddd9014000030001,1,1,1568,-51,1654780222477690,1654780222477690,
300833b2ddd9014000030009,1,1,2436,-42,1654780222478732,1654780222478732,
300833b2ddd9014000030002,1,1,632,-48,1654780222480268,1654780222480268,
300833b2ddd9014000030008,1,1,3420,-41,1654780222485453,1654780222485453,
300833b2ddd9014000030009,1,1,2436,-42,1654780222487135,1654780222487135,
300833b2ddd9014000030002,1,1,632,-48,1654780222488204,1654780222488204,
300833b2ddd9014000030001,1,1,1584,-51,1654780222489675,1654780222489675,
300833b2ddd9014000030008,1,1,3428,-41,1654780222520045,1654780222520045,
300833b2ddd9014000030001,1,1,1564,-50,1654780222522115,1654780222522115,
300833b2ddd9014000030002,1,1,624,-48,1654780222525219,1654780222525219,
300833b2ddd9014000030008,1,1,3420,-41,1654780222527167,1654780222527167,
300833b2ddd9014000030009,1,1,2440,-42,1654780222528223,1654780222528223,
300833b2ddd9014000030001,1,1,1564,-51,1654780222529908,1654780222529908,
300833b2ddd9014000030008,1,1,3420,-41,1654780222560030,1654780222560030,
300833b2ddd9014000030002,1,1,660,-49,1654780222561455,1654780222561455,
300833b2ddd9014000030001,1,1,1584,-51,1654780222562528,1654780222562528,
300833b2ddd9014000030009,1,1,2432,-42,1654780222563898,1654780222563898,
300833b2ddd9014000030008,1,1,3428,-41,1654780222567242,1654780222567242,
300833b2ddd9014000030002,1,1,632,-48,1654780222568582,1654780222568582,
300833b2ddd9014000030001,1,1,1552,-51,1654780222569685,1654780222569685,
300833b2ddd9014000030009,1,1,2436,-42,1654780222571251,1654780222571251,
300833b2ddd9014000030008,1,1,3420,-41,1654780222602630,1654780222602630,
300833b2ddd9014000030009,1,1,2428,-42,1654780222603971,1654780222603971,
300833b2ddd9014000030001,1,1,1580,-51,1654780222605540,1654780222605540,
300833b2ddd9014000030002,1,1,632,-48,1654780222606893,1654780222606893,
300833b2ddd9014000030008,1,1,3424,-41,1654780222611382,1654780222611382,
300833b2ddd9014000030002,1,1,652,-48,1654780222612735,1654780222612735,
300833b2ddd9014000030001,1,1,1572,-51,1654780222614064,1654780222614064,
300833b2ddd9014000030009,1,1,2432,-42,1654780222615107,1654780222615107,
