epc,atenda,atendanum,phase,RSS,timestamp,timestamp2,
300833b2ddd9014000030002,1,1,828,-49,1654779550772672,1654779550772672,
300833b2ddd9014000030009,1,1,2624,-44,1654779550773996,1654779550773996,
300833b2ddd9014000030001,1,1,1332,-49,1654779550775481,1654779550775481,
300833b2ddd9014000030008,1,1,3648,-45,1654779550778754,1654779550778754,
300833b2ddd9014000030002,1,1,816,-50,1654779550780109,1654779550780109,
300833b2ddd9014000030009,1,1,2604,-44,1654779550781209,1654779550781209,
300833b2ddd9014000030001,1,1,1368,-50,1654779550783614,1654779550783614,
300833b2ddd9014000030009,1,1,2600,-44,1654779550814496,1654779550814496,
300833b2ddd9014000030008,1,1,3632,-45,1654779550815578,1654779550815578,
300833b2ddd9014000030001,1,1,1344,-50,1654779550816676,1654779550816676,
300833b2ddd9014000030002,1,1,864,-49,1654779550818241,1654779550818241,
300833b2ddd9014000030001,1,1,1320,-49,1654779550822762,1654779550822762,
300833b2ddd9014000030008,1,1,3644,-45,1654779550823831,1654779550823831,
300833b2ddd9014000030009,1,1,2632,-44,1654779550826169,1654779550826169,
300833b2ddd9014000030002,1,1,852,-50,1654779550828246,1654779550828246,
300833b2ddd9014000030008,1,1,3876,-43,1654779550860045,1654779550860045,
300833b2ddd9014000030009,1,1,2612,-44,1654779550861054,1654779550861054,
300833b2ddd9014000030001,1,1,1352,-50,1654779550862852,1654779550862852,
300833b2ddd9014000030009,1,1,2600,-44,1654779550868731,1654779550868731,
300833b2ddd9014000030008,1,1,3632,-45,1654779550871335,1654779550871335,
300833b2ddd9014000030001,1,1,1332,-49,1654779550872408,1654779550872408,
300833b2ddd9014000030001,1,1,1324,-49,1654779550902420,1654779550902420,
300833b2ddd9014000030002,1,1,852,-50,1654779550903560,1654779550903560,
300833b2ddd9014000030009,1,1,2644,-44,1654779550905397,1654779550905397,
300833b2ddd9014000030008,1,1,3644,-45,1654779550906508,1654779550906508,
300833b2ddd9014000030008,1,1,3628,-45,1654779550910742,1654779550910742,
300833b2ddd9014000030001,1,1,1332,-49,1654779550912909,1654779550912909,
300833b2ddd9014000030009,1,1,2624,-44,1654779550913950,1654779550913950,
300833b2ddd9014000030002,1,1,856,-50,1654779550915018,1654779550915018,
300833b2ddd9014000030009,1,1,2640,-44,1654779550946172,1654779550946172,
300833b2ddd9014000030001,1,1,1320,-49,1654779550947375,1654779550947375,
300833b2ddd9014000030008,1,1,3640,-45,1654779550948966,1654779550948966,
300833b2ddd9014000030001,1,1,1344,-49,1654779550952241,1654779550952241,
300833b2ddd9014000030002,1,1,848,-50,1654779550953281,1654779550953281,
300833b2ddd9014000030008,1,1,3640,-45,1654779550956417,1654779550956417,
300833b2ddd9014000030009,1,1,2604,-44,1654779550957576,1654779550957576,
300833b2ddd9014000030002,1,1,844,-49,1654779550987803,1654779550987803,
300833b2ddd9014000030008,1,1,3628,-45,1654779550989324,1654779550989324,
300833b2ddd9014000030009,1,1,2620,-44,1654779550990889,1654779550990889,
300833b2ddd9014000030001,1,1,1328,-49,1654779550993452,1654779550993452,
300833b2ddd9014000030009,1,1,2636,-44,1654779550996235,1654779550996235,
