epc,atenda,atendanum,phase,RSS,timestamp,timestamp2,
300833b2ddd9014000030002,1,1,856,-51,1654779427115415,1654779427115415,
300833b2ddd9014000030009,1,1,2580,-44,1654779427116674,1654779427116674,
300833b2ddd9014000030001,1,1,1328,-49,1654779427118258,1654779427118258,
300833b2ddd9014000030008,1,1,3588,-47,1654779427119512,1654779427119512,
300833b2ddd9014000030009,1,1,2584,-44,1654779427123637,1654779427123637,
300833b2ddd9014000030002,1,1,860,-51,1654779427125217,1654779427125217,
300833b2ddd9014000030001,1,1,1336,-49,1654779427126419,1654779427126419,
300833b2ddd9014000030008,1,1,3596,-47,1654779427127516,1654779427127516,
300833b2ddd9014000030009,1,1,2580,-44,1654779427157899,1654779427157899,
300833b2ddd9014000030008,1,1,3592,-47,1654779427159621,1654779427159621,
300833b2ddd9014000030001,1,1,1336,-49,1654779427161260,1654779427161260,
300833b2ddd9014000030002,1,1,848,-51,1654779427162448,1654779427162448,
300833b2ddd9014000030001,1,1,1332,-49,1654779427165251,1654779427165251,
300833b2ddd9014000030002,1,1,840,-51,1654779427167130,1654779427167130,
300833b2ddd9014000030009,1,1,2580,-44,1654779427168684,1654779427168684,
300833b2ddd9014000030008,1,1,3588,-47,1654779427169907,1654779427169907,
300833b2ddd9014000030008,1,1,3596,-47,1654779427200927,1654779427200927,
300833b2ddd9014000030002,1,1,836,-51,1654779427202238,1654779427202238,
300833b2ddd9014000030001,1,1,1352,-49,1654779427203566,1654779427203566,
300833b2ddd9014000030009,1,1,2572,-44,1654779427204947,1654779427204947,
300833b2ddd9014000030009,1,1,2588,-44,1654779427209224,1654779427209224,
300833b2ddd9014000030002,1,1,844,-51,1654779427211146,1654779427211146,
300833b2ddd9014000030008,1,1,3592,-47,1654779427212229,1654779427212229,
300833b2ddd9014000030001,1,1,1324,-49,1654779427213615,1654779427213615,
300833b2ddd9014000030009,1,1,2560,-44,1654779427244255,1654779427244255,
300833b2ddd9014000030008,1,1,3584,-47,1654779427245324,1654779427245324,
300833b2ddd9014000030001,1,1,1336,-49,1654779427247756,1654779427247756,
300833b2ddd9014000030002,1,1,856,-51,1654779427249138,1654779427249138,
300833b2ddd9014000030009,1,1,2592,-44,1654779427253286,1654779427253286,
300833b2ddd9014000030001,1,1,1332,-49,1654779427254730,1654779427254730,
300833b2ddd9014000030008,1,1,3556,-47,1654779427256025,1654779427256025,
300833b2ddd9014000030002,1,1,892,-51,1654779427257523,1654779427257523,
300833b2ddd9014000030002,1,1,864,-51,1654779427287506,1654779427287506,
300833b2ddd9014000030008,1,1,3584,-47,1654779427288561,1654779427288561,
300833b2ddd9014000030001,1,1,1340,-49,1654779427289649,1654779427289649,
300833b2ddd9014000030009,1,1,2580,-44,1654779427291004,1654779427291004,
300833b2ddd9014000030008,1,1,3584,-47,1654779427298117,1654779427298117,
300833b2ddd9014000030002,1,1,856,-51,1654779427299315,1654779427299315,
300833b2ddd9014000030009,1,1,2588,-44,1654779427300357,1654779427300357,
300833b2ddd9014000030001,1,1,1348,-49,1654779427302041,1654779427302041,
300833b2ddd9014000030002,1,1,840,-51,1654779427332218,1654779427332218,
300833b2ddd9014000030009,1,1,2612,-44,1654779427333329,1654779427333329,
300833b2ddd9014000030008,1,1,3576,-47,1654779427334910,1654779427334910,
300833b2ddd9014000030001,1,1,1348,-49,1654779427336211,1654779427336211,
300833b2ddd9014000030009,1,1,2584,-44,1654779427340932,1654779427340932,
300833b2ddd9014000030008,1,1,3584,-47,1654779427342371,1654779427342371,
300833b2ddd9014000030001,1,1,1324,-49,1654779427344364,1654779427344364,
300833b2ddd9014000030002,1,1,844,-51,1654779427345790,1654779427345790,
300833b2ddd9014000030009,1,1,2580,-44,1654779427376640,1654779427376640,
300833b2ddd9014000030008,1,1,3576,-47,1654779427377751,1654779427377751,
300833b2ddd9014000030002,1,1,852,-51,1654779427378807,1654779427378807,
300833b2ddd9014000030001,1,1,1344,-49,1654779427380464,1654779427380464,
300833b2ddd9014000030008,1,1,3580,-47,1654779427383295,1654779427383295,
300833b2ddd9014000030001,1,1,1348,-49,1654779427384424,1654779427384424,
300833b2ddd9014000030009,1,1,2588,-44,1654779427386521,1654779427386521,
300833b2ddd9014000030002,1,1,840,-51,1654779427387976,1654779427387976,
300833b2ddd9014000030001,1,1,1324,-49,1654779427418986,1654779427418986,
300833b2ddd9014000030009,1,1,2596,-44,1654779427420027,1654779427420027,
300833b2ddd9014000030002,1,1,856,-51,1654779427423249,1654779427423249,
300833b2ddd9014000030008,1,1,3572,-47,1654779427424359,1654779427424359,
300833b2ddd9014000030008,1,1,3596,-47,1654779427429337,1654779427429337,
300833b2ddd9014000030009,1,1,2596,-44,1654779427432158,1654779427432158,
300833b2ddd9014000030001,1,1,1316,-49,1654779427436246,1654779427436246,
300833b2ddd9014000030002,1,1,856,-51,1654779427437286,1654779427437286,
300833b2ddd9014000030001,1,1,1332,-49,1654779427468024,1654779427468024,
300833b2ddd9014000030002,1,1,852,-51,1654779427469959,1654779427469959,
300833b2ddd9014000030009,1,1,2608,-44,1654779427471270,1654779427471270,
300833b2ddd9014000030008,1,1,3600,-47,1654779427472340,1654779427472340,
300833b2ddd9014000030009,1,1,2584,-44,1654779427475805,1654779427475805,
300833b2ddd9014000030008,1,1,3584,-47,1654779427478047,1654779427478047,
300833b2ddd9014000030002,1,1,860,-51,1654779427479103,1654779427479103,
300833b2ddd9014000030001,1,1,1320,-49,1654779427480219,1654779427480219,
300833b2ddd9014000030009,1,1,2592,-44,1654779427510826,1654779427510826,
300833b2ddd9014000030002,1,1,840,-51,1654779427512094,1654779427512094,
300833b2ddd9014000030001,1,1,1308,-49,1654779427513239,1654779427513239,
300833b2ddd9014000030008,1,1,3592,-47,1654779427514293,1654779427514293,
300833b2ddd9014000030008,1,1,3580,-47,1654779427518983,1654779427518983,
300833b2ddd9014000030001,1,1,1332,-49,1654779427520567,1654779427520567,
300833b2ddd9014000030009,1,1,2588,-44,1654779427522389,1654779427522389,
300833b2ddd9014000030002,1,1,836,-51,1654779427524138,1654779427524138,
300833b2ddd9014000030009,1,1,2608,-44,1654779427555846,1654779427555846,
300833b2ddd9014000030002,1,1,844,-51,1654779427557155,1654779427557155,
300833b2ddd9014000030008,1,1,3584,-46,1654779427559722,1654779427559722,
300833b2ddd9014000030001,1,1,1336,-49,1654779427560837,1654779427560837,
300833b2ddd9014000030002,1,1,824,-51,1654779427563616,1654779427563616,
300833b2ddd9014000030008,1,1,3580,-47,1654779427565562,1654779427565562,
300833b2ddd9014000030001,1,1,1340,-49,1654779427567146,1654779427567146,
300833b2ddd9014000030009,1,1,2588,-44,1654779427568364,1654779427568364,
300833b2ddd9014000030009,1,1,2580,-44,1654779427598731,1654779427598731,
300833b2ddd9014000030001,1,1,1332,-49,1654779427600185,1654779427600185,
300833b2ddd9014000030008,1,1,3564,-47,1654779427601738,1654779427601738,
300833b2ddd9014000030002,1,1,848,-51,1654779427603192,1654779427603192,
300833b2ddd9014000030009,1,1,2588,-44,1654779427606448,1654779427606448,
300833b2ddd9014000030002,1,1,844,-51,1654779427607918,1654779427607918,
300833b2ddd9014000030008,1,1,3568,-47,1654779427608957,1654779427608957,
300833b2ddd9014000030001,1,1,1324,-49,1654779427610030,1654779427610030,
300833b2ddd9014000030002,1,1,880,-51,1654779427641135,1654779427641135,
300833b2ddd9014000030009,1,1,2604,-44,1654779427642672,1654779427642672,
300833b2ddd9014000030001,1,1,1320,-49,1654779427645762,1654779427645762,
300833b2ddd9014000030008,1,1,3568,-47,1654779427646892,1654779427646892,
300833b2ddd9014000030009,1,1,2580,-44,1654779427650398,1654779427650398,
300833b2ddd9014000030008,1,1,3576,-47,1654779427652524,1654779427652524,
300833b2ddd9014000030001,1,1,1320,-49,1654779427654306,1654779427654306,
300833b2ddd9014000030002,1,1,864,-51,1654779427656001,1654779427656001,
300833b2ddd9014000030009,1,1,2588,-44,1654779427685986,1654779427685986,
300833b2ddd9014000030002,1,1,856,-51,1654779427687580,1654779427687580,
300833b2ddd9014000030008,1,1,3572,-47,1654779427690007,1654779427690007,
300833b2ddd9014000030001,1,1,1324,-49,1654779427691292,1654779427691292,
300833b2ddd9014000030009,1,1,2604,-44,1654779427695186,1654779427695186,
300833b2ddd9014000030008,1,1,3580,-47,1654779427699796,1654779427699796,
300833b2ddd9014000030002,1,1,852,-51,1654779427701250,1654779427701250,
300833b2ddd9014000030001,1,1,1344,-49,1654779427702380,1654779427702380,
300833b2ddd9014000030001,1,1,1312,-49,1654779427733722,1654779427733722,
300833b2ddd9014000030009,1,1,2580,-44,1654779427734921,1654779427734921,
300833b2ddd9014000030002,1,1,812,-51,1654779427736219,1654779427736219,
300833b2ddd9014000030008,1,1,3568,-47,1654779427737657,1654779427737657,
300833b2ddd9014000030002,1,1,868,-51,1654779427740915,1654779427740915,
300833b2ddd9014000030001,1,1,1332,-49,1654779427742627,1654779427742627,
300833b2ddd9014000030008,1,1,3572,-47,1654779427743638,1654779427743638,
300833b2ddd9014000030009,1,1,2596,-44,1654779427744723,1654779427744723,
300833b2ddd9014000030008,1,1,3564,-47,1654779427777485,1654779427777485,
300833b2ddd9014000030001,1,1,1332,-49,1654779427778545,1654779427778545,
300833b2ddd9014000030009,1,1,2580,-45,1654779427782544,1654779427782544,
300833b2ddd9014000030002,1,1,836,-51,1654779427784239,1654779427784239,
300833b2ddd9014000030008,1,1,3556,-47,1654779427785350,1654779427785350,
300833b2ddd9014000030001,1,1,1324,-48,1654779427787277,1654779427787277,
300833b2ddd9014000030008,1,1,3548,-47,1654779427817232,1654779427817232,
300833b2ddd9014000030002,1,1,852,-51,1654779427818270,1654779427818270,
300833b2ddd9014000030001,1,1,1340,-49,1654779427819866,1654779427819866,
300833b2ddd9014000030009,1,1,2572,-44,1654779427821195,1654779427821195,
300833b2ddd9014000030009,1,1,2580,-45,1654779427825685,1654779427825685,
300833b2ddd9014000030001,1,1,1336,-49,1654779427826985,1654779427826985,
300833b2ddd9014000030008,1,1,3560,-47,1654779427828238,1654779427828238,
300833b2ddd9014000030002,1,1,860,-51,1654779427831112,1654779427831112,
300833b2ddd9014000030008,1,1,3564,-47,1654779427862450,1654779427862450,
300833b2ddd9014000030009,1,1,2592,-44,1654779427863563,1654779427863563,
300833b2ddd9014000030001,1,1,1296,-49,1654779427865373,1654779427865373,
300833b2ddd9014000030002,1,1,864,-51,1654779427868028,1654779427868028,
300833b2ddd9014000030009,1,1,2584,-44,1654779427871301,1654779427871301,
300833b2ddd9014000030008,1,1,3568,-47,1654779427873499,1654779427873499,
300833b2ddd9014000030002,1,1,880,-51,1654779427874954,1654779427874954,
300833b2ddd9014000030001,1,1,1316,-49,1654779427876027,1654779427876027,
300833b2ddd9014000030008,1,1,3568,-47,1654779427905889,1654779427905889,
300833b2ddd9014000030001,1,1,1348,-49,1654779427906948,1654779427906948,
300833b2ddd9014000030002,1,1,852,-51,1654779427908796,1654779427908796,
