epc,atenda,atendanum,phase,RSS,timestamp,timestamp2,
300833b2ddd9014000030002,1,1,808,-49,1654779823042297,1654779823042297,
300833b2ddd9014000030009,1,1,2632,-43,1654779823043952,1654779823043952,
300833b2ddd9014000030008,1,1,3612,-45,1654779823044992,1654779823044992,
300833b2ddd9014000030002,1,1,816,-49,1654779823048297,1654779823048297,
300833b2ddd9014000030009,1,1,2644,-44,1654779823050248,1654779823050248,
300833b2ddd9014000030008,1,1,3632,-45,1654779823052249,1654779823052249,
300833b2ddd9014000030001,1,1,1372,-51,1654779823053366,1654779823053366,
300833b2ddd9014000030009,1,1,2632,-43,1654779823083568,1654779823083568,
300833b2ddd9014000030001,1,1,1352,-51,1654779823085280,1654779823085280,
300833b2ddd9014000030008,1,1,3624,-44,1654779823086589,1654779823086589,
300833b2ddd9014000030002,1,1,792,-49,1654779823088109,1654779823088109,
300833b2ddd9014000030009,1,1,2632,-43,1654779823091112,1654779823091112,
300833b2ddd9014000030008,1,1,3612,-45,1654779823092223,1654779823092223,
300833b2ddd9014000030002,1,1,796,-49,1654779823094891,1654779823094891,
300833b2ddd9014000030001,1,1,1376,-51,1654779823096008,1654779823096008,
300833b2ddd9014000030008,1,1,3620,-45,1654779823126587,1654779823126587,
300833b2ddd9014000030002,1,1,800,-49,1654779823128522,1654779823128522,
300833b2ddd9014000030009,1,1,2636,-43,1654779823129902,1654779823129902,
300833b2ddd9014000030001,1,1,1360,-51,1654779823131329,1654779823131329,
300833b2ddd9014000030002,1,1,820,-49,1654779823134844,1654779823134844,
300833b2ddd9014000030009,1,1,2628,-44,1654779823136301,1654779823136301,
300833b2ddd9014000030008,1,1,3640,-45,1654779823137864,1654779823137864,
300833b2ddd9014000030001,1,1,1352,-51,1654779823139009,1654779823139009,
300833b2ddd9014000030008,1,1,3628,-44,1654779823168838,1654779823168838,
300833b2ddd9014000030001,1,1,1340,-50,1654779823169925,1654779823169925,
300833b2ddd9014000030009,1,1,2636,-44,1654779823170982,1654779823170982,
300833b2ddd9014000030002,1,1,816,-49,1654779823172278,1654779823172278,
300833b2ddd9014000030002,1,1,788,-49,1654779823177919,1654779823177919,
300833b2ddd9014000030001,1,1,1332,-51,1654779823180347,1654779823180347,
300833b2ddd9014000030009,1,1,2644,-44,1654779823181619,1654779823181619,
300833b2ddd9014000030008,1,1,3624,-44,1654779823182914,1654779823182914,
300833b2ddd9014000030002,1,1,796,-49,1654779823213651,1654779823213651,
300833b2ddd9014000030008,1,1,3624,-44,1654779823214931,1654779823214931,
300833b2ddd9014000030009,1,1,2640,-44,1654779823216243,1654779823216243,
300833b2ddd9014000030001,1,1,1344,-51,1654779823219018,1654779823219018,
300833b2ddd9014000030002,1,1,788,-49,1654779823224616,1654779823224616,
300833b2ddd9014000030008,1,1,3624,-44,1654779823225685,1654779823225685,
300833b2ddd9014000030009,1,1,2644,-44,1654779823226799,1654779823226799,
300833b2ddd9014000030001,1,1,1340,-51,1654779823228307,1654779823228307,
300833b2ddd9014000030008,1,1,3628,-44,1654779823258506,1654779823258506,
300833b2ddd9014000030001,1,1,1352,-51,1654779823259580,1654779823259580,
300833b2ddd9014000030009,1,1,2664,-43,1654779823260694,1654779823260694,
300833b2ddd9014000030002,1,1,784,-49,1654779823261734,1654779823261734,
300833b2ddd9014000030008,1,1,3632,-44,1654779823267133,1654779823267133,
