epc,atenda,atendanum,phase,RSS,timestamp,timestamp2,
300833b2ddd9014000030009,1,1,2428,-43,1654780969571129,1654780969571129,
300833b2ddd9014000030001,1,1,1272,-47,1654780969572200,1654780969572200,
300833b2ddd9014000030008,1,1,2988,-46,1654780969574219,1654780969574219,
300833b2ddd9014000030009,1,1,2424,-43,1654780969579102,1654780969579102,
300833b2ddd9014000030008,1,1,2992,-47,1654780969580380,1654780969580380,
300833b2ddd9014000030001,1,1,1272,-47,1654780969581499,1654780969581499,
300833b2ddd9014000030002,1,1,16,-49,1654780969583741,1654780969583741,
300833b2ddd9014000030001,1,1,1264,-47,1654780969615806,1654780969615806,
300833b2ddd9014000030008,1,1,3012,-46,1654780969617949,1654780969617949,
300833b2ddd9014000030002,1,1,16,-49,1654780969619499,1654780969619499,
300833b2ddd9014000030009,1,1,2420,-44,1654780969624295,1654780969624295,
300833b2ddd9014000030008,1,1,3000,-46,1654780969626451,1654780969626451,
300833b2ddd9014000030001,1,1,1272,-47,1654780969628631,1654780969628631,
300833b2ddd9014000030002,1,1,8,-50,1654780969629957,1654780969629957,
300833b2ddd9014000030002,1,1,16,-49,1654780969661950,1654780969661950,
300833b2ddd9014000030001,1,1,1244,-47,1654780969663067,1654780969663067,
300833b2ddd9014000030008,1,1,2996,-46,1654780969664194,1654780969664194,
300833b2ddd9014000030009,1,1,2404,-43,1654780969670557,1654780969670557,
300833b2ddd9014000030001,1,1,1280,-47,1654780969671657,1654780969671657,
300833b2ddd9014000030008,1,1,3004,-46,1654780969673208,1654780969673208,
300833b2ddd9014000030002,1,1,24,-49,1654780969674531,1654780969674531,
300833b2ddd9014000030002,1,1,24,-50,1654780969706693,1654780969706693,
300833b2ddd9014000030008,1,1,2988,-46,1654780969708032,1654780969708032,
300833b2ddd9014000030009,1,1,2420,-43,1654780969709601,1654780969709601,
300833b2ddd9014000030001,1,1,1264,-47,1654780969710644,1654780969710644,
300833b2ddd9014000030009,1,1,2428,-44,1654780969717008,1654780969717008,
300833b2ddd9014000030008,1,1,3000,-46,1654780969718515,1654780969718515,
300833b2ddd9014000030001,1,1,1276,-47,1654780969720420,1654780969720420,
300833b2ddd9014000030002,1,1,20,-49,1654780969721550,1654780969721550,
300833b2ddd9014000030009,1,1,2416,-43,1654780969751993,1654780969751993,
300833b2ddd9014000030008,1,1,3016,-46,1654780969753078,1654780969753078,
300833b2ddd9014000030001,1,1,1256,-47,1654780969755798,1654780969755798,
300833b2ddd9014000030002,1,1,48,-49,1654780969757135,1654780969757135,
300833b2ddd9014000030009,1,1,2408,-44,1654780969761611,1654780969761611,
300833b2ddd9014000030008,1,1,2996,-46,1654780969762947,1654780969762947,
300833b2ddd9014000030002,1,1,44,-49,1654780969763960,1654780969763960,
300833b2ddd9014000030001,1,1,1260,-47,1654780969765389,1654780969765389,
300833b2ddd9014000030001,1,1,1260,-47,1654780969801981,1654780969801981,
300833b2ddd9014000030008,1,1,2992,-46,1654780969803036,1654780969803036,
300833b2ddd9014000030009,1,1,2416,-43,1654780969804078,1654780969804078,
300833b2ddd9014000030002,1,1,36,-49,1654780969805334,1654780969805334,
300833b2ddd9014000030009,1,1,2428,-43,1654780969808312,1654780969808312,
300833b2ddd9014000030001,1,1,1260,-47,1654780969810224,1654780969810224,
300833b2ddd9014000030008,1,1,3008,-46,1654780969811350,1654780969811350,
300833b2ddd9014000030002,1,1,24,-49,1654780969812435,1654780969812435,
300833b2ddd9014000030008,1,1,2980,-46,1654780969843013,1654780969843013,
300833b2ddd9014000030001,1,1,1248,-47,1654780969844312,1654780969844312,
300833b2ddd9014000030008,1,1,2988,-46,1654780969850754,1654780969850754,
300833b2ddd9014000030009,1,1,2424,-44,1654780969852079,1654780969852079,
300833b2ddd9014000030001,1,1,1256,-47,1654780969853551,1654780969853551,
300833b2ddd9014000030002,1,1,4,-49,1654780969854992,1654780969854992,
300833b2ddd9014000030002,1,1,40,-49,1654780969885126,1654780969885126,
300833b2ddd9014000030001,1,1,1244,-47,1654780969886811,1654780969886811,
300833b2ddd9014000030008,1,1,2996,-46,1654780969887936,1654780969887936,
300833b2ddd9014000030009,1,1,2396,-43,1654780969889007,1654780969889007,
300833b2ddd9014000030001,1,1,1252,-47,1654780969892342,1654780969892342,
300833b2ddd9014000030008,1,1,2988,-46,1654780969893693,1654780969893693,
300833b2ddd9014000030009,1,1,2412,-43,1654780969895233,1654780969895233,
300833b2ddd9014000030002,1,1,28,-49,1654780969898033,1654780969898033,
300833b2ddd9014000030001,1,1,1260,-47,1654780969928892,1654780969928892,
300833b2ddd9014000030009,1,1,2408,-43,1654780969929978,1654780969929978,
300833b2ddd9014000030008,1,1,2956,-46,1654780969931031,1654780969931031,
300833b2ddd9014000030002,1,1,24,-49,1654780969932470,1654780969932470,
300833b2ddd9014000030009,1,1,2416,-44,1654780969935592,1654780969935592,
300833b2ddd9014000030008,1,1,2976,-46,1654780969936644,1654780969936644,
300833b2ddd9014000030002,1,1,20,-49,1654780969938170,1654780969938170,
300833b2ddd9014000030001,1,1,1244,-47,1654780969939726,1654780969939726,
300833b2ddd9014000030001,1,1,1264,-47,1654780969971460,1654780969971460,
300833b2ddd9014000030009,1,1,2408,-43,1654780969973140,1654780969973140,
300833b2ddd9014000030008,1,1,2992,-46,1654780969974223,1654780969974223,
300833b2ddd9014000030002,1,1,32,-49,1654780969975306,1654780969975306,
300833b2ddd9014000030009,1,1,2408,-43,1654780969979204,1654780969979204,
300833b2ddd9014000030001,1,1,1256,-47,1654780969980688,1654780969980688,
300833b2ddd9014000030008,1,1,2984,-46,1654780969982001,1654780969982001,
300833b2ddd9014000030002,1,1,16,-50,1654780969983680,1654780969983680,
300833b2ddd9014000030001,1,1,1272,-47,1654780970014115,1654780970014115,
300833b2ddd9014000030002,1,1,32,-49,1654780970015298,1654780970015298,
300833b2ddd9014000030009,1,1,2408,-43,1654780970016327,1654780970016327,
300833b2ddd9014000030008,1,1,2996,-46,1654780970017397,1654780970017397,
