epc,atenda,atendanum,phase,RSS,timestamp,timestamp2,
300833b2ddd9014000030009,1,1,2456,-44,1654781086402364,1654781086402364,
300833b2ddd9014000030001,1,1,1112,-50,1654781086404712,1654781086404712,
300833b2ddd9014000030009,1,1,2464,-44,1654781086408945,1654781086408945,
300833b2ddd9014000030002,1,1,200,-48,1654781086410129,1654781086410129,
300833b2ddd9014000030001,1,1,1108,-50,1654781086411471,1654781086411471,
300833b2ddd9014000030008,1,1,3164,-43,1654781086412582,1654781086412582,
300833b2ddd9014000030002,1,1,180,-48,1654781086442868,1654781086442868,
300833b2ddd9014000030008,1,1,3164,-43,1654781086444163,1654781086444163,
300833b2ddd9014000030001,1,1,1112,-50,1654781086445988,1654781086445988,
300833b2ddd9014000030009,1,1,2456,-44,1654781086447117,1654781086447117,
300833b2ddd9014000030009,1,1,2460,-44,1654781086451339,1654781086451339,
300833b2ddd9014000030002,1,1,204,-48,1654781086452407,1654781086452407,
300833b2ddd9014000030001,1,1,1124,-50,1654781086453764,1654781086453764,
300833b2ddd9014000030008,1,1,3156,-43,1654781086455057,1654781086455057,
300833b2ddd9014000030009,1,1,2452,-44,1654781086487796,1654781086487796,
300833b2ddd9014000030002,1,1,180,-48,1654781086488894,1654781086488894,
300833b2ddd9014000030008,1,1,3156,-43,1654781086490219,1654781086490219,
300833b2ddd9014000030001,1,1,1116,-50,1654781086491675,1654781086491675,
300833b2ddd9014000030008,1,1,3152,-43,1654781086496327,1654781086496327,
300833b2ddd9014000030001,1,1,1144,-50,1654781086497429,1654781086497429,
300833b2ddd9014000030009,1,1,2492,-44,1654781086498738,1654781086498738,
300833b2ddd9014000030002,1,1,184,-48,1654781086499980,1654781086499980,
300833b2ddd9014000030002,1,1,208,-48,1654781086530419,1654781086530419,
300833b2ddd9014000030008,1,1,3176,-43,1654781086531830,1654781086531830,
300833b2ddd9014000030001,1,1,1120,-50,1654781086534043,1654781086534043,
300833b2ddd9014000030008,1,1,3160,-43,1654781086536715,1654781086536715,
300833b2ddd9014000030001,1,1,1120,-50,1654781086538269,1654781086538269,
300833b2ddd9014000030009,1,1,2456,-44,1654781086539525,1654781086539525,
300833b2ddd9014000030002,1,1,184,-48,1654781086541460,1654781086541460,
300833b2ddd9014000030009,1,1,2460,-44,1654781086572928,1654781086572928,
300833b2ddd9014000030002,1,1,180,-48,1654781086574111,1654781086574111,
300833b2ddd9014000030008,1,1,3156,-43,1654781086575391,1654781086575391,
300833b2ddd9014000030001,1,1,1100,-50,1654781086576864,1654781086576864,
300833b2ddd9014000030009,1,1,2448,-44,1654781086587498,1654781086587498,
300833b2ddd9014000030008,1,1,3176,-43,1654781086588580,1654781086588580,
300833b2ddd9014000030002,1,1,184,-48,1654781086590420,1654781086590420,
300833b2ddd9014000030001,1,1,1100,-50,1654781086592839,1654781086592839,
300833b2ddd9014000030009,1,1,2452,-44,1654781086628494,1654781086628494,
300833b2ddd9014000030001,1,1,1116,-50,1654781086630207,1654781086630207,
300833b2ddd9014000030008,1,1,3168,-43,1654781086631333,1654781086631333,
300833b2ddd9014000030002,1,1,180,-48,1654781086632374,1654781086632374,
300833b2ddd9014000030001,1,1,1108,-50,1654781086636080,1654781086636080,
300833b2ddd9014000030009,1,1,2468,-44,1654781086638056,1654781086638056,
300833b2ddd9014000030008,1,1,3156,-43,1654781086639394,1654781086639394,
300833b2ddd9014000030002,1,1,180,-47,1654781086640520,1654781086640520,
300833b2ddd9014000030002,1,1,188,-48,1654781086671157,1654781086671157,
300833b2ddd9014000030008,1,1,3180,-43,1654781086673093,1654781086673093,
300833b2ddd9014000030009,1,1,2460,-44,1654781086674177,1654781086674177,
300833b2ddd9014000030001,1,1,1108,-50,1654781086675264,1654781086675264,
300833b2ddd9014000030001,1,1,1112,-50,1654781086907462,1654781086907462,
300833b2ddd9014000030002,1,1,216,-48,1654781086909186,1654781086909186,
300833b2ddd9014000030009,1,1,2456,-44,1654781086910271,1654781086910271,
300833b2ddd9014000030008,1,1,3164,-43,1654781086911339,1654781086911339,
300833b2ddd9014000030009,1,1,2460,-44,1654781086943894,1654781086943894,
300833b2ddd9014000030001,1,1,1092,-50,1654781086945052,1654781086945052,
