epc,atenda,atendanum,phase,RSS,timestamp,timestamp2,
300833b2ddd9014000030008,1,1,3200,-43,1654781405461704,1654781405461704,
300833b2ddd9014000030009,1,1,2436,-44,1654781405462987,1654781405462987,
300833b2ddd9014000030001,1,1,1124,-50,1654781405464089,1654781405464089,
300833b2ddd9014000030002,1,1,148,-47,1654781405466492,1654781405466492,
300833b2ddd9014000030002,1,1,164,-47,1654781405471295,1654781405471295,
300833b2ddd9014000030009,1,1,2432,-44,1654781405472382,1654781405472382,
300833b2ddd9014000030008,1,1,3204,-43,1654781405473463,1654781405473463,
300833b2ddd9014000030001,1,1,1100,-50,1654781405475131,1654781405475131,
300833b2ddd9014000030001,1,1,1088,-50,1654781405505708,1654781405505708,
300833b2ddd9014000030002,1,1,172,-48,1654781405507497,1654781405507497,
300833b2ddd9014000030009,1,1,2420,-44,1654781405508939,1654781405508939,
300833b2ddd9014000030008,1,1,3204,-43,1654781405510049,1654781405510049,
300833b2ddd9014000030008,1,1,3192,-43,1654781405513325,1654781405513325,
300833b2ddd9014000030002,1,1,184,-48,1654781405514408,1654781405514408,
300833b2ddd9014000030009,1,1,2456,-44,1654781405516586,1654781405516586,
300833b2ddd9014000030001,1,1,1096,-50,1654781405517930,1654781405517930,
300833b2ddd9014000030008,1,1,3208,-43,1654781405548564,1654781405548564,
300833b2ddd9014000030001,1,1,1088,-50,1654781405550749,1654781405550749,
300833b2ddd9014000030009,1,1,2456,-44,1654781405551819,1654781405551819,
300833b2ddd9014000030002,1,1,180,-48,1654781405552903,1654781405552903,
300833b2ddd9014000030008,1,1,3200,-43,1654781405557325,1654781405557325,
300833b2ddd9014000030009,1,1,2444,-44,1654781405558471,1654781405558471,
300833b2ddd9014000030001,1,1,1120,-50,1654781405559785,1654781405559785,
300833b2ddd9014000030002,1,1,176,-48,1654781405561268,1654781405561268,
300833b2ddd9014000030002,1,1,184,-48,1654781405591179,1654781405591179,
300833b2ddd9014000030008,1,1,3204,-43,1654781405592874,1654781405592874,
300833b2ddd9014000030001,1,1,1068,-50,1654781405593977,1654781405593977,
300833b2ddd9014000030009,1,1,2440,-44,1654781405595302,1654781405595302,
300833b2ddd9014000030009,1,1,2456,-44,1654781405599492,1654781405599492,
300833b2ddd9014000030008,1,1,3212,-43,1654781405600948,1654781405600948,
300833b2ddd9014000030001,1,1,1084,-50,1654781405602288,1654781405602288,
300833b2ddd9014000030002,1,1,180,-48,1654781405603461,1654781405603461,
300833b2ddd9014000030001,1,1,1064,-50,1654781405637031,1654781405637031,
300833b2ddd9014000030002,1,1,280,-47,1654781405638693,1654781405638693,
300833b2ddd9014000030009,1,1,2436,-44,1654781405640161,1654781405640161,
300833b2ddd9014000030008,1,1,3196,-43,1654781405641217,1654781405641217,
300833b2ddd9014000030001,1,1,1088,-50,1654781405646276,1654781405646276,
300833b2ddd9014000030002,1,1,188,-47,1654781405648300,1654781405648300,
300833b2ddd9014000030009,1,1,2464,-44,1654781405649639,1654781405649639,
300833b2ddd9014000030008,1,1,3204,-43,1654781405650707,1654781405650707,
300833b2ddd9014000030002,1,1,216,-47,1654781405681396,1654781405681396,
300833b2ddd9014000030009,1,1,2460,-44,1654781405682536,1654781405682536,
300833b2ddd9014000030008,1,1,3208,-43,1654781405683578,1654781405683578,
300833b2ddd9014000030001,1,1,1076,-50,1654781405684919,1654781405684919,
300833b2ddd9014000030009,1,1,2448,-44,1654781405689598,1654781405689598,
300833b2ddd9014000030002,1,1,204,-47,1654781405691491,1654781405691491,
300833b2ddd9014000030001,1,1,1060,-50,1654781405692621,1654781405692621,
300833b2ddd9014000030008,1,1,3204,-43,1654781405693917,1654781405693917,
300833b2ddd9014000030009,1,1,2436,-44,1654781405725037,1654781405725037,
300833b2ddd9014000030002,1,1,200,-48,1654781405726247,1654781405726247,
300833b2ddd9014000030008,1,1,3196,-43,1654781405727288,1654781405727288,
300833b2ddd9014000030001,1,1,1064,-50,1654781405728433,1654781405728433,
300833b2ddd9014000030001,1,1,1064,-51,1654781405732321,1654781405732321,
300833b2ddd9014000030009,1,1,2444,-44,1654781405733363,1654781405733363,
300833b2ddd9014000030008,1,1,3204,-43,1654781405734434,1654781405734434,
300833b2ddd9014000030002,1,1,184,-48,1654781405735491,1654781405735491,
300833b2ddd9014000030002,1,1,216,-47,1654781405767564,1654781405767564,
300833b2ddd9014000030009,1,1,2444,-44,1654781405768904,1654781405768904,
300833b2ddd9014000030008,1,1,3208,-43,1654781405770185,1654781405770185,
300833b2ddd9014000030001,1,1,1076,-50,1654781405772960,1654781405772960,
300833b2ddd9014000030009,1,1,2444,-44,1654781405775923,1654781405775923,
300833b2ddd9014000030008,1,1,3224,-43,1654781405777304,1654781405777304,
300833b2ddd9014000030002,1,1,204,-48,1654781405778657,1654781405778657,
300833b2ddd9014000030001,1,1,1088,-51,1654781405779701,1654781405779701,
300833b2ddd9014000030008,1,1,3208,-43,1654781405813105,1654781405813105,
300833b2ddd9014000030009,1,1,2452,-44,1654781405814854,1654781405814854,
300833b2ddd9014000030002,1,1,208,-48,1654781405816149,1654781405816149,
300833b2ddd9014000030001,1,1,1036,-50,1654781405817592,1654781405817592,
300833b2ddd9014000030001,1,1,1080,-51,1654781405820355,1654781405820355,
300833b2ddd9014000030009,1,1,2432,-44,1654781405823182,1654781405823182,
300833b2ddd9014000030008,1,1,3204,-43,1654781405824334,1654781405824334,
300833b2ddd9014000030002,1,1,212,-48,1654781405825546,1654781405825546,
300833b2ddd9014000030002,1,1,204,-48,1654781405855574,1654781405855574,
300833b2ddd9014000030008,1,1,3204,-43,1654781405857540,1654781405857540,
300833b2ddd9014000030001,1,1,1084,-50,1654781405859236,1654781405859236,
300833b2ddd9014000030001,1,1,1072,-50,1654781405862397,1654781405862397,
300833b2ddd9014000030009,1,1,2448,-44,1654781405863797,1654781405863797,
300833b2ddd9014000030008,1,1,3212,-43,1654781405865362,1654781405865362,
300833b2ddd9014000030002,1,1,200,-48,1654781405867321,1654781405867321,
300833b2ddd9014000030002,1,1,216,-48,1654781405899135,1654781405899135,
300833b2ddd9014000030008,1,1,3212,-43,1654781405900262,1654781405900262,
300833b2ddd9014000030009,1,1,2464,-44,1654781405901588,1654781405901588,
300833b2ddd9014000030001,1,1,1084,-50,1654781405902761,1654781405902761,
300833b2ddd9014000030008,1,1,3200,-43,1654781405905730,1654781405905730,
300833b2ddd9014000030002,1,1,196,-48,1654781405906814,1654781405906814,
300833b2ddd9014000030009,1,1,2448,-44,1654781405908850,1654781405908850,
300833b2ddd9014000030001,1,1,1088,-50,1654781405911485,1654781405911485,
300833b2ddd9014000030008,1,1,3212,-43,1654781405941952,1654781405941952,
300833b2ddd9014000030002,1,1,200,-48,1654781405943649,1654781405943649,
300833b2ddd9014000030009,1,1,2456,-44,1654781405944720,1654781405944720,
300833b2ddd9014000030001,1,1,1108,-51,1654781405945950,1654781405945950,
300833b2ddd9014000030002,1,1,204,-48,1654781405949653,1654781405949653,
300833b2ddd9014000030008,1,1,3208,-43,1654781405951063,1654781405951063,
300833b2ddd9014000030001,1,1,1092,-51,1654781405952151,1654781405952151,
300833b2ddd9014000030009,1,1,2456,-44,1654781405953237,1654781405953237,
300833b2ddd9014000030009,1,1,2444,-44,1654781405984887,1654781405984887,
300833b2ddd9014000030002,1,1,216,-48,1654781405987312,1654781405987312,
300833b2ddd9014000030001,1,1,1064,-50,1654781405988527,1654781405988527,
