epc,atenda,atendanum,phase,RSS,timestamp,timestamp2,
300833b2ddd9014000030009,1,1,2456,-45,1654781161958730,1654781161958730,
300833b2ddd9014000030008,1,1,3100,-43,1654781161959825,1654781161959825,
300833b2ddd9014000030001,1,1,1196,-50,1654781161961169,1654781161961169,
300833b2ddd9014000030002,1,1,160,-48,1654781161963113,1654781161963113,
300833b2ddd9014000030002,1,1,152,-48,1654781161967690,1654781161967690,
300833b2ddd9014000030008,1,1,3096,-43,1654781161968929,1654781161968929,
300833b2ddd9014000030001,1,1,1176,-50,1654781161970302,1654781161970302,
300833b2ddd9014000030009,1,1,2444,-44,1654781161971344,1654781161971344,
300833b2ddd9014000030008,1,1,3108,-43,1654781162003104,1654781162003104,
300833b2ddd9014000030001,1,1,1200,-50,1654781162004191,1654781162004191,
300833b2ddd9014000030009,1,1,2448,-44,1654781162007015,1654781162007015,
300833b2ddd9014000030002,1,1,168,-48,1654781162008211,1654781162008211,
300833b2ddd9014000030009,1,1,2456,-44,1654781162010985,1654781162010985,
300833b2ddd9014000030002,1,1,164,-48,1654781162012591,1654781162012591,
300833b2ddd9014000030008,1,1,3104,-43,1654781162013646,1654781162013646,
300833b2ddd9014000030001,1,1,1204,-50,1654781162016519,1654781162016519,
300833b2ddd9014000030001,1,1,1196,-50,1654781162047764,1654781162047764,
300833b2ddd9014000030009,1,1,2460,-44,1654781162049091,1654781162049091,
300833b2ddd9014000030008,1,1,3092,-43,1654781162050463,1654781162050463,
300833b2ddd9014000030002,1,1,164,-48,1654781162051589,1654781162051589,
300833b2ddd9014000030009,1,1,2452,-44,1654781162057796,1654781162057796,
300833b2ddd9014000030008,1,1,3088,-43,1654781162059134,1654781162059134,
300833b2ddd9014000030002,1,1,140,-48,1654781162062230,1654781162062230,
300833b2ddd9014000030001,1,1,1208,-50,1654781162063359,1654781162063359,
300833b2ddd9014000030008,1,1,3096,-43,1654781162093085,1654781162093085,
300833b2ddd9014000030001,1,1,1192,-50,1654781162094430,1654781162094430,
300833b2ddd9014000030002,1,1,144,-48,1654781162095696,1654781162095696,
300833b2ddd9014000030009,1,1,2440,-44,1654781162096768,1654781162096768,
300833b2ddd9014000030009,1,1,2448,-44,1654781162101492,1654781162101492,
300833b2ddd9014000030001,1,1,1216,-50,1654781162103031,1654781162103031,
300833b2ddd9014000030002,1,1,168,-48,1654781162104646,1654781162104646,
300833b2ddd9014000030008,1,1,3100,-43,1654781162105757,1654781162105757,
300833b2ddd9014000030001,1,1,1232,-50,1654781162136921,1654781162136921,
300833b2ddd9014000030009,1,1,2440,-45,1654781162138829,1654781162138829,
300833b2ddd9014000030002,1,1,144,-48,1654781162139912,1654781162139912,
300833b2ddd9014000030008,1,1,3104,-43,1654781162141251,1654781162141251,
300833b2ddd9014000030008,1,1,3092,-43,1654781162144607,1654781162144607,
300833b2ddd9014000030001,1,1,1208,-50,1654781162146137,1654781162146137,
300833b2ddd9014000030002,1,1,160,-48,1654781162147234,1654781162147234,
300833b2ddd9014000030009,1,1,2444,-44,1654781162148305,1654781162148305,
300833b2ddd9014000030001,1,1,1196,-50,1654781162180258,1654781162180258,
300833b2ddd9014000030009,1,1,2448,-44,1654781162181331,1654781162181331,
300833b2ddd9014000030008,1,1,3088,-43,1654781162182414,1654781162182414,
300833b2ddd9014000030002,1,1,140,-48,1654781162183738,1654781162183738,
300833b2ddd9014000030008,1,1,3084,-43,1654781162188730,1654781162188730,
300833b2ddd9014000030009,1,1,2456,-44,1654781162190416,1654781162190416,
300833b2ddd9014000030001,1,1,1200,-50,1654781162191475,1654781162191475,
300833b2ddd9014000030002,1,1,156,-48,1654781162192541,1654781162192541,
300833b2ddd9014000030001,1,1,1224,-50,1654781162223518,1654781162223518,
300833b2ddd9014000030009,1,1,2436,-44,1654781162224661,1654781162224661,
300833b2ddd9014000030002,1,1,156,-48,1654781162225984,1654781162225984,
300833b2ddd9014000030008,1,1,3100,-43,1654781162227267,1654781162227267,
300833b2ddd9014000030008,1,1,3088,-43,1654781162231537,1654781162231537,
300833b2ddd9014000030009,1,1,2436,-44,1654781162232608,1654781162232608,
300833b2ddd9014000030002,1,1,160,-48,1654781162233975,1654781162233975,
300833b2ddd9014000030001,1,1,1236,-50,1654781162235289,1654781162235289,
300833b2ddd9014000030001,1,1,1232,-50,1654781162267291,1654781162267291,
300833b2ddd9014000030008,1,1,3076,-43,1654781162268760,1654781162268760,
300833b2ddd9014000030009,1,1,2440,-44,1654781162269860,1654781162269860,
300833b2ddd9014000030002,1,1,152,-48,1654781162270900,1654781162270900,
300833b2ddd9014000030009,1,1,2444,-44,1654781162274724,1654781162274724,
300833b2ddd9014000030002,1,1,144,-48,1654781162275750,1654781162275750,
300833b2ddd9014000030001,1,1,1208,-50,1654781162277078,1654781162277078,
300833b2ddd9014000030008,1,1,3104,-43,1654781162278416,1654781162278416,
300833b2ddd9014000030001,1,1,1244,-50,1654781162309912,1654781162309912,
300833b2ddd9014000030008,1,1,3088,-43,1654781162312329,1654781162312329,
300833b2ddd9014000030009,1,1,2460,-45,1654781162313414,1654781162313414,
300833b2ddd9014000030002,1,1,160,-48,1654781162314838,1654781162314838,
300833b2ddd9014000030008,1,1,3100,-43,1654781162317585,1654781162317585,
300833b2ddd9014000030001,1,1,1228,-50,1654781162319155,1654781162319155,
300833b2ddd9014000030009,1,1,2436,-44,1654781162320428,1654781162320428,
300833b2ddd9014000030002,1,1,156,-48,1654781162321749,1654781162321749,
300833b2ddd9014000030009,1,1,2436,-44,1654781162353652,1654781162353652,
300833b2ddd9014000030008,1,1,3068,-43,1654781162355075,1654781162355075,
300833b2ddd9014000030002,1,1,136,-48,1654781162356400,1654781162356400,
300833b2ddd9014000030001,1,1,1228,-50,1654781162357659,1654781162357659,
300833b2ddd9014000030001,1,1,1228,-50,1654781162360757,1654781162360757,
300833b2ddd9014000030002,1,1,140,-48,1654781162362095,1654781162362095,
300833b2ddd9014000030009,1,1,2424,-44,1654781162363647,1654781162363647,
300833b2ddd9014000030008,1,1,3084,-43,1654781162364728,1654781162364728,
300833b2ddd9014000030002,1,1,144,-48,1654781162397768,1654781162397768,
300833b2ddd9014000030008,1,1,3076,-43,1654781162398896,1654781162398896,
300833b2ddd9014000030001,1,1,1216,-50,1654781162400494,1654781162400494,
300833b2ddd9014000030009,1,1,2436,-44,1654781162401637,1654781162401637,
300833b2ddd9014000030009,1,1,2424,-44,1654781162407212,1654781162407212,
300833b2ddd9014000030002,1,1,164,-48,1654781162408620,1654781162408620,
300833b2ddd9014000030008,1,1,3084,-43,1654781162409717,1654781162409717,
300833b2ddd9014000030001,1,1,1216,-50,1654781162411432,1654781162411432,
300833b2ddd9014000030008,1,1,3072,-44,1654781162441265,1654781162441265,
300833b2ddd9014000030001,1,1,1224,-50,1654781162442835,1654781162442835,
300833b2ddd9014000030009,1,1,2440,-44,1654781162444148,1654781162444148,
300833b2ddd9014000030002,1,1,132,-48,1654781162445230,1654781162445230,
300833b2ddd9014000030001,1,1,1212,-50,1654781162450221,1654781162450221,
300833b2ddd9014000030002,1,1,148,-48,1654781162451902,1654781162451902,
300833b2ddd9014000030009,1,1,2424,-44,1654781162452988,1654781162452988,
300833b2ddd9014000030008,1,1,3080,-43,1654781162454098,1654781162454098,
300833b2ddd9014000030002,1,1,144,-48,1654781162540041,1654781162540041,
300833b2ddd9014000030009,1,1,2436,-44,1654781162541539,1654781162541539,
300833b2ddd9014000030008,1,1,3068,-43,1654781162546025,1654781162546025,
300833b2ddd9014000030002,1,1,164,-48,1654781162547438,1654781162547438,
300833b2ddd9014000030001,1,1,1208,-49,1654781162548522,1654781162548522,
300833b2ddd9014000030009,1,1,2428,-44,1654781162549584,1654781162549584,
300833b2ddd9014000030002,1,1,152,-48,1654781162579961,1654781162579961,
300833b2ddd9014000030008,1,1,3068,-44,1654781162581909,1654781162581909,
