epc,atenda,atendanum,phase,RSS,timestamp,timestamp2,
300833b2ddd9014000030001,1,1,808,-61,1654781898149048,1654781898149048,
300833b2ddd9014000030008,1,1,3456,-43,1654781898150388,1654781898150388,
300833b2ddd9014000030009,1,1,3044,-48,1654781898151714,1654781898151714,
300833b2ddd9014000030002,1,1,500,-48,1654781898153905,1654781898153905,
300833b2ddd9014000030008,1,1,3464,-43,1654781898157466,1654781898157466,
300833b2ddd9014000030001,1,1,828,-60,1654781898158540,1654781898158540,
300833b2ddd9014000030002,1,1,500,-48,1654781898160622,1654781898160622,
300833b2ddd9014000030009,1,1,3052,-49,1654781898161778,1654781898161778,
300833b2ddd9014000030001,1,1,740,-60,1654781898192992,1654781898192992,
300833b2ddd9014000030008,1,1,3452,-43,1654781898194285,1654781898194285,
300833b2ddd9014000030002,1,1,488,-48,1654781898195370,1654781898195370,
300833b2ddd9014000030009,1,1,3056,-48,1654781898196710,1654781898196710,
300833b2ddd9014000030001,1,1,868,-60,1654781898201944,1654781898201944,
300833b2ddd9014000030002,1,1,484,-48,1654781898203397,1654781898203397,
300833b2ddd9014000030008,1,1,3468,-43,1654781898204720,1654781898204720,
300833b2ddd9014000030009,1,1,3056,-48,1654781898205778,1654781898205778,
300833b2ddd9014000030008,1,1,3492,-43,1654781898236431,1654781898236431,
300833b2ddd9014000030002,1,1,496,-48,1654781898238096,1654781898238096,
300833b2ddd9014000030001,1,1,780,-60,1654781898239401,1654781898239401,
300833b2ddd9014000030009,1,1,3048,-49,1654781898240470,1654781898240470,
300833b2ddd9014000030001,1,1,780,-60,1654781898244266,1654781898244266,
300833b2ddd9014000030008,1,1,3468,-43,1654781898245334,1654781898245334,
300833b2ddd9014000030009,1,1,3040,-49,1654781898246887,1654781898246887,
300833b2ddd9014000030002,1,1,496,-48,1654781898247941,1654781898247941,
300833b2ddd9014000030009,1,1,3056,-49,1654781898279749,1654781898279749,
300833b2ddd9014000030008,1,1,3480,-43,1654781898280822,1654781898280822,
300833b2ddd9014000030002,1,1,492,-48,1654781898282159,1654781898282159,
300833b2ddd9014000030002,1,1,520,-48,1654781898494322,1654781898494322,
300833b2ddd9014000030001,1,1,908,-59,1654781898496022,1654781898496022,
300833b2ddd9014000030008,1,1,3472,-43,1654781898497287,1654781898497287,
300833b2ddd9014000030009,1,1,3064,-49,1654781898498486,1654781898498486,
300833b2ddd9014000030008,1,1,3464,-43,1654781898529011,1654781898529011,
300833b2ddd9014000030001,1,1,932,-59,1654781898530499,1654781898530499,
300833b2ddd9014000030009,1,1,3072,-48,1654781898531810,1654781898531810,
300833b2ddd9014000030002,1,1,500,-48,1654781898532878,1654781898532878,
300833b2ddd9014000030001,1,1,896,-60,1654781898536443,1654781898536443,
300833b2ddd9014000030008,1,1,3476,-43,1654781898538376,1654781898538376,
300833b2ddd9014000030009,1,1,3040,-48,1654781898539657,1654781898539657,
300833b2ddd9014000030002,1,1,520,-48,1654781898540866,1654781898540866,
300833b2ddd9014000030008,1,1,3476,-43,1654781898571015,1654781898571015,
300833b2ddd9014000030002,1,1,496,-48,1654781898572324,1654781898572324,
300833b2ddd9014000030009,1,1,3060,-49,1654781898574129,1654781898574129,
300833b2ddd9014000030002,1,1,488,-48,1654781898580022,1654781898580022,
300833b2ddd9014000030008,1,1,3484,-43,1654781898581673,1654781898581673,
300833b2ddd9014000030009,1,1,3040,-48,1654781898582969,1654781898582969,
300833b2ddd9014000030001,1,1,812,-60,1654781898584597,1654781898584597,
300833b2ddd9014000030009,1,1,3052,-48,1654781898616175,1654781898616175,
300833b2ddd9014000030001,1,1,740,-59,1654781898617378,1654781898617378,
300833b2ddd9014000030002,1,1,516,-48,1654781898618473,1654781898618473,
300833b2ddd9014000030008,1,1,3484,-43,1654781898619583,1654781898619583,
300833b2ddd9014000030001,1,1,868,-60,1654781898623168,1654781898623168,
300833b2ddd9014000030008,1,1,3492,-43,1654781898624278,1654781898624278,
300833b2ddd9014000030002,1,1,508,-48,1654781898626608,1654781898626608,
300833b2ddd9014000030009,1,1,3060,-48,1654781898628644,1654781898628644,
300833b2ddd9014000030001,1,1,888,-60,1654781898658579,1654781898658579,
300833b2ddd9014000030008,1,1,3472,-43,1654781898659647,1654781898659647,
300833b2ddd9014000030009,1,1,3060,-48,1654781898660760,1654781898660760,
300833b2ddd9014000030002,1,1,500,-48,1654781898662127,1654781898662127,
300833b2ddd9014000030002,1,1,496,-48,1654781898667095,1654781898667095,
300833b2ddd9014000030009,1,1,3064,-48,1654781898668393,1654781898668393,
300833b2ddd9014000030008,1,1,3456,-43,1654781898669504,1654781898669504,
300833b2ddd9014000030001,1,1,972,-59,1654781898671273,1654781898671273,
300833b2ddd9014000030001,1,1,912,-60,1654781898702957,1654781898702957,
300833b2ddd9014000030002,1,1,512,-49,1654781898704040,1654781898704040,
300833b2ddd9014000030008,1,1,3476,-43,1654781898706655,1654781898706655,
300833b2ddd9014000030009,1,1,3092,-49,1654781898707711,1654781898707711,
300833b2ddd9014000030002,1,1,496,-48,1654781898711177,1654781898711177,
300833b2ddd9014000030008,1,1,3468,-43,1654781898713381,1654781898713381,
300833b2ddd9014000030001,1,1,868,-60,1654781898714752,1654781898714752,
300833b2ddd9014000030009,1,1,3072,-48,1654781898715949,1654781898715949,
300833b2ddd9014000030001,1,1,908,-60,1654781898745846,1654781898745846,
300833b2ddd9014000030002,1,1,500,-48,1654781898748015,1654781898748015,
300833b2ddd9014000030009,1,1,3088,-48,1654781898749101,1654781898749101,
300833b2ddd9014000030008,1,1,3472,-43,1654781898753111,1654781898753111,
300833b2ddd9014000030001,1,1,900,-60,1654781898754214,1654781898754214,
300833b2ddd9014000030009,1,1,3072,-48,1654781898755535,1654781898755535,
300833b2ddd9014000030002,1,1,504,-48,1654781898757442,1654781898757442,
300833b2ddd9014000030008,1,1,3476,-43,1654781898789329,1654781898789329,
300833b2ddd9014000030001,1,1,864,-60,1654781898790402,1654781898790402,
300833b2ddd9014000030002,1,1,508,-48,1654781898791483,1654781898791483,
300833b2ddd9014000030009,1,1,3076,-49,1654781898794173,1654781898794173,
300833b2ddd9014000030009,1,1,3080,-48,1654781898798063,1654781898798063,
300833b2ddd9014000030008,1,1,3468,-43,1654781898799984,1654781898799984,
300833b2ddd9014000030001,1,1,896,-60,1654781898801057,1654781898801057,
300833b2ddd9014000030002,1,1,496,-48,1654781898802408,1654781898802408,
300833b2ddd9014000030008,1,1,3472,-43,1654781898832753,1654781898832753,
300833b2ddd9014000030009,1,1,3072,-48,1654781898833878,1654781898833878,
300833b2ddd9014000030002,1,1,492,-48,1654781898835415,1654781898835415,
300833b2ddd9014000030001,1,1,872,-60,1654781898837880,1654781898837880,
300833b2ddd9014000030009,1,1,3064,-49,1654781898841522,1654781898841522,
300833b2ddd9014000030008,1,1,3480,-43,1654781898842620,1654781898842620,
